sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
500004502,71,71 500              , ,Order-Level Materials (OLMs),"Order-Level Materials (OLMs) are supplies and/or services acquired in direct support of an individual task or delivery order placed against a Federal Supply Schedule (FSS) contract or FSS blanket purchase agreement (BPA).  OLMs are not defined, priced, or awarded at the FSS contract level. They are unknown before a task or delivery order is placed against the FSS contract or FSS BPA. OLMs are only authorized for inclusion at the order level under a Time-and-Materials (T&M) or Labor-Hour (LH) Contract Line Item Number (CLIN) and are subject to a Not To Exceed (NTE) ceiling price.  OLMs include direct materials, subcontracts for supplies and incidental services for which there is not a labor category specified in the FSS contract, other direct costs (separate from those under ODC SINs), and indirect costs. OLMs are purchased under the authority of the FSS Program and are not ""open market items.""
 
Items awarded under ancillary supplies/services or other direct cost (ODC) SINs are not OLMs.  These items are defined, priced, and awarded at the FSS contract level, whereas OLMs are unknown before an order is placed.  Ancillary supplies/services and ODC SINs are for use under all order type CLINs (Fixed-Price (FP), T&M, and LH), whereas the Order-Level Materials SIN is only authorized for use under T&M and LH order CLINs. 
 
The Order-Level Materials SIN is only authorized for use in direct support of another awarded SIN.  Price analysis for OLMs is not conducted when awarding the FSS contract or FSS BPA; therefore, GSAR 538.270 and 538.271 do not apply to OLMs.  OLMs are defined and priced at the ordering activity level in accordance with GSAR clause 552.238-82 Special Ordering Procedures for the Acquisition of Order-Level Materials.  Prices for items provided under the Order-Level Materials SIN must be inclusive of the Industrial Funding Fee (IFF). The value of OLMs in a task or delivery order, or the cumulative value of OLMs in orders against an FSS BPA awarded under an FSS contract, cannot exceed 33.33%.",,,,,
500004503,84,84 500              , ,Order-Level Materials (OLMs) - SUBJECT TO COOPERATIVE PURCHASING,"Order-Level Materials (OLMs) are supplies and/or services acquired in direct support of an individual task or delivery order placed against a Federal Supply Schedule (FSS) contract or FSS blanket purchase agreement (BPA).  OLMs are not defined, priced, or awarded at the FSS contract level. They are unknown before a task or delivery order is placed against the FSS contract or FSS BPA. OLMs are only authorized for inclusion at the order level under a Time-and-Materials (T&M) or Labor-Hour (LH) Contract Line Item Number (CLIN) and are subject to a Not To Exceed (NTE) ceiling price.  OLMs include direct materials, subcontracts for supplies and incidental services for which there is not a labor category specified in the FSS contract, other direct costs (separate from those under ODC SINs), and indirect costs. OLMs are purchased under the authority of the FSS Program and are not ""open market items.""
 
Items awarded under ancillary supplies/services or other direct cost (ODC) SINs are not OLMs.  These items are defined, priced, and awarded at the FSS contract level, whereas OLMs are unknown before an order is placed.  Ancillary supplies/services and ODC SINs are for use under all order type CLINs (Fixed-Price (FP), T&M, and LH), whereas the Order-Level Materials SIN is only authorized for use under T&M and LH order CLINs. 
 
The Order-Level Materials SIN is only authorized for use in direct support of another awarded SIN.  Price analysis for OLMs is not conducted when awarding the FSS contract or FSS BPA; therefore, GSAR 538.270 and 538.271 do not apply to OLMs.  OLMs are defined and priced at the ordering activity level in accordance with GSAR clause 552.238-82 Special Ordering Procedures for the Acquisition of Order-Level Materials.  Prices for items provided under the Order-Level Materials SIN must be inclusive of the Industrial Funding Fee (IFF). The value of OLMs in a task or delivery order, or the cumulative value of OLMs in orders against an FSS BPA awarded under an FSS contract, cannot exceed 33.33%.",,,,,
500004504,00CORP    ,00CORP 500          ,Order-Level Materials (OLMs),Order-Level Materials (OLMs),"Order-Level Materials (OLMs) are supplies and/or services acquired in direct support of an individual task or delivery order placed against a Federal Supply Schedule (FSS) contract or FSS blanket purchase agreement (BPA).  OLMs are not defined, priced, or awarded at the FSS contract level. They are unknown before a task or delivery order is placed against the FSS contract or FSS BPA. OLMs are only authorized for inclusion at the order level under a Time-and-Materials (T&M) or Labor-Hour (LH) Contract Line Item Number (CLIN) and are subject to a Not To Exceed (NTE) ceiling price.  OLMs include direct materials, subcontracts for supplies and incidental services for which there is not a labor category specified in the FSS contract, other direct costs (separate from those under ODC SINs), and indirect costs. OLMs are purchased under the authority of the FSS Program and are not ""open market items.""
 
Items awarded under ancillary supplies/services or other direct cost (ODC) SINs are not OLMs.  These items are defined, priced, and awarded at the FSS contract level, whereas OLMs are unknown before an order is placed.  Ancillary supplies/services and ODC SINs are for use under all order type CLINs (Fixed-Price (FP), T&M, and LH), whereas the Order-Level Materials SIN is only authorized for use under T&M and LH order CLINs. 
 
The Order-Level Materials SIN is only authorized for use in direct support of another awarded SIN.  Price analysis for OLMs is not conducted when awarding the FSS contract or FSS BPA; therefore, GSAR 538.270 and 538.271 do not apply to OLMs.  OLMs are defined and priced at the ordering activity level in accordance with GSAR clause 552.238-82 Special Ordering Procedures for the Acquisition of Order-Level Materials.  Prices for items provided under the Order-Level Materials SIN must be inclusive of the Industrial Funding Fee (IFF). The value of OLMs in a task or delivery order, or the cumulative value of OLMs in orders against an FSS BPA awarded under an FSS contract, cannot exceed 33.33%.",,,,,
500004505,738 X     ,738X 500            , ,Order-Level Materials (OLMs),"Order-Level Materials (OLMs) are supplies and/or services acquired in direct support of an individual task or delivery order placed against a Federal Supply Schedule (FSS) contract or FSS blanket purchase agreement (BPA).  OLMs are not defined, priced, or awarded at the FSS contract level. They are unknown before a task or delivery order is placed against the FSS contract or FSS BPA. OLMs are only authorized for inclusion at the order level under a Time-and-Materials (T&M) or Labor-Hour (LH) Contract Line Item Number (CLIN) and are subject to a Not To Exceed (NTE) ceiling price.  OLMs include direct materials, subcontracts for supplies and incidental services for which there is not a labor category specified in the FSS contract, other direct costs (separate from those under ODC SINs), and indirect costs. OLMs are purchased under the authority of the FSS Program and are not ""open market items.""
 
Items awarded under ancillary supplies/services or other direct cost (ODC) SINs are not OLMs.  These items are defined, priced, and awarded at the FSS contract level, whereas OLMs are unknown before an order is placed.  Ancillary supplies/services and ODC SINs are for use under all order type CLINs (Fixed-Price (FP), T&M, and LH), whereas the Order-Level Materials SIN is only authorized for use under T&M and LH order CLINs. 
 
The Order-Level Materials SIN is only authorized for use in direct support of another awarded SIN.  Price analysis for OLMs is not conducted when awarding the FSS contract or FSS BPA; therefore, GSAR 538.270 and 538.271 do not apply to OLMs.  OLMs are defined and priced at the ordering activity level in accordance with GSAR clause 552.238-82 Special Ordering Procedures for the Acquisition of Order-Level Materials.  Prices for items provided under the Order-Level Materials SIN must be inclusive of the Industrial Funding Fee (IFF). The value of OLMs in a task or delivery order, or the cumulative value of OLMs in orders against an FSS BPA awarded under an FSS contract, cannot exceed 33.33%.",,,,,
500004506,ALIAN2    ,ALL 2               , ,Alliant 2,"Computer Systems Design Services - Infrastructure includes hardware, software, licensing, technical support, and warranty services from third party sources, as well as technological refreshment and enhancements for that hardware and software. This section is aligned with the FEA/DoD IEA, which describes these components using a vocabulary that is common throughout the entire Federal government. Infrastructure includes complete life cycle support for all hardware, software, and services represented above, including planning, analysis, research and development, design, development, integration and testing, implementation, operations and maintenance, information assurance, and final disposition of these components. The services also include administration and help desk functions necessary to support the IT infrastructure. Infrastructure serves as the foundation and building blocks of an integrated IT solution. It is the hardware which supports Application Services and IT Management Services; the software and services which enable that hardware to function; and the hardware, software, and services which allow for secure communication and interoperability between all business and application service components. Infrastructure services facilitate the development and maintenance of critical IT infrastructures required to support Federal government business operations. This section includes the technical framework components that make up integrated IT solutions. One or any combination of these components may be used to deliver IT solutions intended to perform a wide array of functions which allow agencies to deliver services to their customers (or users), whether internal or external, in an efficient and effective manner. 
<p>
Service Access and Delivery: These components are responsible for facilitating the end-to-end collection and distribution of data that is either entered or requested by a user. These components include all functions necessary to communicate in a client-server environment. Examples of these components include, but are not limited to: Web browsers Virtual Private Network (VPN) Remote Authentication Dial-In User Service (RADIUS) Peer-to-peer Section 508 compliance HyperText Transfer Protocol (HTTP) File Transfer Protocol (FTP) Simple Mail Transfer Protocol (SMTP) 
<p>
Service Platform and Infrastructure: These components include all functions necessary for processing and storing data. These components provide and manage the resources available for Application Services. Examples of these components include, but are not limited to: Desktops, laptops, servers, mainframes, routers, switches, and printers. Asynchronous Transfer Mode (ATM) and T1 Digital Subscriber Line (DSL), Ethernet, Windows/UNIX, Java/.NET Web server/portal Database, data storage, data warehouse Software development tools Testing, modeling, versioning, and configuration management. 
<p>
Component Framework: These components consist of the design of application or system software that incorporates interfaces for interacting with other programs and for future flexibility and expandability. These components define higher level logical functions to provide services in a way that is useful and meaningful to users and other Application Services. Examples of these components include, but are not limited to: Digital certificates, biometrics; Business logic: , Visual Basic Data interchange Simple Object Access Protocol (SOAP) Resource Description Framework (RDF) Data management Structured Query Language (SQL), Open DataBase Connectivity (ODBC), and OnLine Analytical Processing (OLAP). 
<p>
Service Interface and Integration: These components define the discovery, interaction and communication technologies joining disparate systems and information providers. Application Services leverage and incorporate these components to provide interoperability and scalability. Examples of these components include, but are not limited to: Messaging-Oriented Middleware (MOM) Object Request Broker (ORB) Enterprise Application Integration (EAI) Extensible Markup Language (XML) Electronic Data Interchange (EDI) Web Services Description Language (WSDL) Universal Description, Discovery and Integration (UDDI). 
<p>
Application Services: Application Services provide support for all applications and collaborative service capabilities. These services include support for developing and implementing enterprise and departmental-level applications. These applications may be ""cross-cutting"" in nature, with inter-related service processing components extending across/beyond the enterprise, or unique to a particular agency/department's mission requirements. Application Services include complete life cycle support, including planning, analysis, research and development, design, development, integration and testing, implementation, operations and maintenance, information assurance, and final disposition. 
<p>
Customer Services: Customer Relationship Management (CRM): All aspects of the CRM process, including planning, scheduling, and control activities involved with service delivery. The service components facilitate agencies' requirements for managing and coordinating customer interactions across multiple communication channels and business lines. Customer Preferences: Customizing customer preferences relative to interface requirements and information delivery mechanisms (e.g., personalization, subscriptions, alerts and notifications). Customer Initiated Services: Initiating service requests and seeking assistance from government agencies via online communication channels (e.g., online help, tutorials, self-service, reservation/registration, multilingual support, scheduling). 
<p>
Process Automation: Tracking and Workflow: Automated routing, tracking, and management of documents (e.g., process tracking, case management, and conflict resolution). Routing and Scheduling: Automated distribution and scheduling activities (e.g., inbound/outbound correspondence management). 
<p>
Business Management: Process Management: Development and implementation of standard methodologies and automated process management systems, to facilitate agencies' requirements for managing and monitoring activities surrounding their core business operations (e.g., change management, configuration management, requirements management, program/project management, governance/policy management, quality management, risk management). Organizational Management: Collaboration and communication activities (e.g., workgroup/groupware, network management). Investment Management: Selecting, managing, and evaluating agencies' investments and capital asset portfolios (e.g., strategic planning/management, portfolio management, performance management). Supply Chain Management: All aspects of supply chain management, from the initial sourcing phase through customer delivery (e.g., procurement, sourcing management, inventory management, catalog management, ordering/purchasing, invoice tracking, storefront/shopping cart, warehouse management, returns management, logistics/transportation). 
<p>
Digital Asset Services: Content Management: Content development, maintenance, updates, and distribution (e.g., content authoring, content review/approval, tagging/aggregation, content publishing/delivery, syndication management). Document Management: Capturing, indexing, and maintaining documents (e.g., document imaging, optical character recognition (OCR), document revisions, library/storage, review/approval, document conversion, indexing/classification). Knowledge Management: Collecting and processing data from multiple sources and generating information to support business requirements (e.g., information retrieval, information mapping/taxonomy, information sharing, categorization, knowledge engineering, knowledge capture/distribution/delivery, and smart documents). Records Management: Administration of official government records (record linking/association, record storage/archival, document classification, document retirement, digital rights management). 
<p>
Business Analytical Services: Analysis and Statistics: Applying analysis and statistics to examine/resolve business issues (e.g., mathematical, structural/thermal, radiological, forensics). Visualization: Transforming data into graphical or image form (e.g., graphing/charting, imagery, multimedia, mapping/geospatial/elevation/global positioning systems (GPS), computer-aided design (CAD)). Knowledge Discovery: Identifying and extracting information from multiple data source containing files stored in various formats (e.g., data mining, modeling, simulation). Business Intelligence: Collecting information relevant to historical, existing, or future business needs (e.g., demand forecasting/management, balanced scorecard, decision support planning). Reporting: Generating reports derived from single or multiple data sources (e.g., ad hoc reporting, standardized/canned reporting, OLAP). 
<p>
Back Office Services: Data Management: Creating, using, processing, and managing data resources (e.g., data exchange, data mart, data warehouse, metadata management, data cleansing, extraction and transformation, data recovery). Human Resources: Recruitment, training, and management of government personnel (e.g., recruiting, career development/retention, time reporting, awards/benefit management, retirement management, education/training, travel management). Financial Management: Government financing and accounting activities (e.g., billing and accounting, credit/charge, expense management, payroll, payment/settlement, debt collection, revenue management, internal controls, auditing, activity based management, currency translation). Asset/Material Management: Acquisition and management of Federal government assets (property/asset management, asset cataloging/identification, asset transfer/allocation/maintenance, facilities management, computers/automation management). Development and Integration: Development and integration of systems across diverse operating platforms (e.g., legacy integration, enterprise application integration, data integration, instrumentation/testing, software development). Human Capital/Workforce Management Development and Integration: Planning and supervisory operations surrounding government personnel (e.g., resource planning/allocation, skills management, workforce directory/locator, team/organization management, contingent workforce management). 
<p>
Support Services: Security Management: Ensuring desired levels of protection for Federal systems, data, and related assets are achieved (e.g., identification/authentication, access control, encryption, intrusion detection, verification, digital signature, user management, role/privilege management, audit trail capture/analysis). Collaboration: Communications, messaging, information sharing, scheduling and task management activities (e.g., email, threaded discussions, document library, shared calendaring, task management). Search: Searching, querying, and retrieving data from multiple sources (e.g., precision/recall ranking, classification, pattern matching) Communications: Voice, data, and video communications in multiple formats and protocols (e.g., real time chat, instant messaging, audio/video conferencing, event/news management, community management support, computer/telephony integration, voice communications). Systems Management: All aspects of systems management (e.g., software distribution/license management, configuration/installation, remote systems control, enhancements/service updates, system resource monitoring, helpdesk support/issue tracking). Forms Management: Creating, managing, and processing online forms to support business operations (e.g., forms creation, modification). 
<p>
DoD IEA Mission Area Support: The Master Contract provides support for the DoD IEA reference models relating DoD's specialized mission, business, and program areas. Though the DoD IEA is an emerging standard, policy and procedures have been formalized for maintaining, evolving, and using the DoD IEA reference models. The DoD IEA reference models leverage existing DoD standards and reflect the alignment with the FEA. The Master Contract includes IT support services for DoD's Global Information Grid (GIG) architecture, Business, Warfighter, Intelligence, and Enterprise Information Environment (EIE) mission areas. 
<p>
IT Management Services: IT Management Services provide support for operations and IT resource management requirements across the Federal government. These services encompass support for all strategic planning, management, and control functions integral to IT initiatives. The IT Management Services provide the foundational support to effectively align IT requirements with Federal government business operations. IT Management Services provide support for all government lines of business, functions, and service components that comprise the FEA Performance Reference Model (PRM) and Business Reference Model (BRM)IT Management Services shall enable the development and implementation of enhanced governance capabilities, to efficiently and effectively support government agencies' mission requirements and service delivery operations. The services include, but shall not be limited to, support for the following functions: 
<p>
Controls and Oversight: Development and implementation of management controls and systems required by agencies to evaluate, manage, and monitor program performance relative to IT initiatives (e.g., agency, program, and project-level performance plans for IT initiatives; performance measures to support evaluation and reporting requirements for IT initiatives in compliance with FEA/DoD IEA PRM standards, etc.). 
<p>
Risk Management and Mitigation: Identification of risk and preparation of risk management plans for IT projects, initiatives, and ongoing operations. Contingency planning to ensure continuity of IT operations and service recovery during emergency events (e.g., risk assessments to determine contingency planning requirements for IT operating environments; develop/maintain contingency, Continuity of Operations (COOP), and disaster recovery plans for IT components, develop/implement emergency preparedness systems). 
<p>
IT Regulatory Development: Facilitate the development of IT policies, guidelines and standards to facilitate implementation of Federal laws and regulations. The services include support for development, implementation and maintenance of systems to support agencies' IT regulatory development, compliance, and enforcement activities (e.g., monitoring/ inspection/auditing of IT regulated activities to ensure compliance). 
<p>
IT Planning and Resource Allocation: Facilitate the planning of IT investments, as well as determine and manage managing overall IT resources to efficiently and effectively support agencies' mission operations. This service area includes, but shall not be limited to support for the following functions: Budget Formulation/Execution: Facilitate the integration of budgets and plans, at agency and departmental levels, to effectively link IT functions, activities, and resources with mission objectives. Capital Planning: Facilitate the selection, management, and evaluation of IT investments relative to Federal government agencies' overall capital asset portfolios. Enterprise Architecture (EA): Development and use of EA work products to manage current and future needs of Federal government business operations (i.e., ""baseline"" and ""target"" architectures). The services include transition planning and migration support for all EA components (e.g., business, information, application, and technology architectures), to advance the development and implementation of ""core EA capabilities."" The services shall provide support relative to Federal government mandates for measuring and reporting on the completion and usage of EA programs, as well as evaluating results for E-Gov alignment and implementation of Federal lines of business and other cross-governmental initiatives (e.g., SmartBUY, IPv6, and HSPD-12). Strategic Planning: Facilitate the effective alignment of IT requirements/ Information Resource Management (IRM) plans with strategic business plans and program initiatives. Management Improvements: Development and implementation of improved systems and business practices to optimize productivity and service delivery operations (e.g., analysis, and implementation of improvements in the flow of IT work and program processes and tool utilization, including business system analysis, identification of requirements for streamlining, re-engineering, or re-structuring internal systems/business processes for improvement, determination of IT solution alternatives, benchmarking). 
<p>
IT Security and Cybersecurity: Development and implementation of management, operational, and technical security controls required by agencies to assure desired levels of protection for IT systems and data are achieved (e.g., establishment of policy/procedures in support of Federal IT security requirements, conduct risk assessments to identify threats/vulnerabilities for existing/planned systems; support Federal mandates for measuring and reporting compliance, perform certification and accreditation (C&A) activities; provide training services to promote awareness and knowledge of compliance responsibilities for Federal IT security requirements). 
<p>
System and Network Controls: Facilitate the planning, development, implementation, and management of system and network control mechanisms to support communication and automated needs. Facilitate the planning, organizing, coordinating, and controlling of the arrangement of the elements of protection and monitoring capabilities, and incident recovery actions of the information environment. The process takes configuration orders; status reports; and operational and functional performance requirements as inputs and provides performance capabilities and service and infrastructure controls as outputs. System and network controls are controlled by environment standards such as policy and operational guidance. The service control requirements enable network controls and operational performance capabilities. 
<p>
Cloud Computing: The following is an excerpt from the most recent National Institute of Standards and Technology (NIST) guidance: Special Publication 800-146, Cloud Computing Synopsis and Recommendations The full document can be obtained at http://csrc.nist.gov/publications/PubsSPs.html Cloud computing is a model for enabling convenient, on-demand network access to a shared pool of configurable computing resources (e.g., networks, servers, storage, applications, and services) that can be rapidly provisioned and released with minimal management effort or service provider interaction. This cloud model is composed of five essential characteristics, three service models, and four deployment models. Cloud Essential Characteristics On-demand self-service: A consumer can unilaterally provision computing capabilities, such as server time and network storage, as needed automatically without requiring human interaction with each service's provider. Broad network access: Capabilities are available over the network and accessed through standard mechanisms that promote use by heterogeneous thin or thick client platforms (e.g., mobile phones, tablets, laptops, and workstations). Resource pooling: The provider's computing resources are pooled to serve multiple consumers using a multi-tenant model, with different physical and virtual resources dynamically assigned and reassigned according to consumer demand. There is a sense of location independence in that the customer generally has no control or knowledge over the exact location of the provided resources but may be able to specify location at a higher level of abstraction (e.g., country, state, or datacenter). Examples of resources include storage, processing, memory, and network bandwidth. Rapid elasticity: Capabilities can be rapidly and elastically provisioned, in some cases automatically, to scale rapidly outward and inward commensurate with demand. To the consumer, the capabilities available for provisioning often appear to be unlimited and can be appropriated in any quantity at any time. Measured Service: Cloud systems automatically control and optimize resource use by leveraging a metering capability at some level of abstraction appropriate to the type of service (e.g., storage, processing, bandwidth, and active user accounts). Resource usage can be monitored, controlled, and reported, providing transparency for both the provider and consumer of the utilized service. Cloud Service Models Cloud Software as a Service (SaaS): The capability provided to the consumer is to use the provider's applications running on a cloud infrastructure. The applications are accessible from various client devices through a thin client interface such as a Web browser (e.g., Web-based email), or a program interface. The consumer does not manage or control the underlying cloud infrastructure including network, servers, operating systems, storage, or even individual application capabilities, with the possible exception of limited user-specific application configuration settings. Cloud Platform as a Service (PaaS). The capability provided to the consumer is to deploy onto the cloud infrastructure consumer-created or -acquired applications created using programming languages and tools supported by the provide. The consumer does not manage or control the underlying cloud infrastructure including network, servers, operating systems, or storage, but has control over the deployed applications and possibly application hosting environment configurations. Cloud Infrastructure as a Service (IaaS). The capability provided to the consumer is to provision processing, storage, networks, and other fundamental computing resources where the consumer is able to deploy and run arbitrary software, which can include operating systems and applications. The consumer does not manage or control the underlying cloud infrastructure but has control over operating systems, storage, deployed applications; and possibly limited control of select networking components (e.g., host firewalls). All currently emerging and future Cloud Computing as Service offerings, such as ""X"" as a Service, are within the Scope. 
<p>
Big Data & Big Data Analytics: NIST is currently in working groups concerning this subject and released a preliminary definition during the October 2014 working Group conference. The following is excerpt from that preliminary release. The full content can be viewed at through the following web site: http://bigdatawg.nist.gov/ieee.php Big data consists of advanced techniques that harness independent resources for building scalable data systems when the characteristics of the datasets require new architectures for efficient storage, manipulation, and analysis. Big data is where the data volume, acquisition velocity, or data representation limits the ability to perform effective analysis using traditional relational approaches or requires the use of significant horizontal scaling (more nodes) for efficient processing. 
<p>
For purposes of issuing an RFI/RFP/RFQ, please use the industry partner list maintained on the Alliant 2 website www.gsa.gov/alliant2, or GSA's eBuy system.
<br>",,,,,
500004509,70,132 20              , ,Automated Contact Center Solutions (ACCS) - SUBJECT TO COOPERATIVE PURCHASING,"The intended scope of this SIN is to offer ACCS.  ACCS is defined as any combination of products, equipment, software and/or services that are required to establish and maintain contact center capabilities managed by the contractor for an agency.  These include a wide range of automated and attended managed solutions that allow agencies to respond to inquiries from the public.  Permissible offerings under this SIN may include any technologies or services required to deliver and support ACCS to agencies, including but not limited to:
&bull; Technology: Automated services to include but not limited to Artificial Intelligence (AI), Chat Bots, Robotic Process Automation, Interactive Voice Response (IVR), Voice/Speech Recognition, Text-to-Speech, Voicemail, Callback, Web Callback, Email Delivery, Hosted Online Ordering, Hosted Email Web Form, Hosted FAQ Service, etc.
&nbsp;
NOTE:
&bull; The anticipated Place of Performance required to meet the Government need shall be defined at the task order level. Additionally, contractors should anticipate contractor-site and Government-site requirements.
&bull; Ancillary supplies and/or services shall neither be the primary purpose nor the preponderance of the work ordered, but be an integral part of the total solution offered. Ancillary supplies and/or services may only be ordered in conjunction with or in support of IT supplies and/or services purchased under the ACCS SIN.
&bull; Ordering activities may request from Schedule contractors their awarded End User License Agreements (EULAs) or Terms of Service (TOS) Agreements, which will assist the ordering activities with reviewing the terms and conditions and additional products and services and prices which, may be included.
&bull; The Transactional Data Reporting (TDR) Rule requires vendors to electronically report the price the Federal Government paid for an item or service purchased through GSA acquisition vehicles. The TDR PILOT DOES NOT APPLY TO THIS SIN, except if a TDR-covered SIN(s) is proposed as part of a vendor's total offering to GSA (e.g. 132-8, 132-32, 132-33, 132-34, 132-54, 132-55). If both TDR and Non-TDR SINs are offered, the entire contract may be subject to TDR if so elected by the vendor.  As such, the Price Reduction clause (PRC) and Commercial Sales Practice (CSP) requirements shall be removed from the terms and conditions of the entire contract. If Non-TDR SIN(s) are offered only, then the offering shall be subject to the PRC and CSP.",,,,,
500004609,MAS       ,325611,Industrial Products and Services - Cleaning Supplies,Cleaning Products,"Includes cleaning products such as laundry cleaner, floor/carpet cleaners, sorbents, biodegradable cleanser/degreasers, and other related cleaning chemicals, dispensing equipment and systems. ",,,,,
500004610,MAS       ,325612,Industrial Products and Services - Cleaning Supplies,"Disinfectants, Sterilants and Deodorizers","Includes disinfectants, sterilants, and deodorizers. ",,,,,
500004611,MAS       ,326220,Industrial Products and Services - Fire/Rescue/Safety/Environmental Protection Equipment,"Hoses, Valves, Fittings, Nozzles, Couplings and Related Accessories","Includes all hoses, valves, fittings, nozzles, couplings, and related accessories.

NOTE: Subject to Cooperative Purchasing ",,,,,
500004612,MAS       ,339999S             ,Industrial Products and Services - Fire/Rescue/Safety/Environmental Protection Equipment,Safety Zone Products,"Includes all safety zone products, such as barricades, guardrails, safety barrels and drums, channelizers, safety fences, etc.",,,,,
500004613,MAS       ,333914,Industrial Products and Services - Fuel Management,Fuel Management Systems,"Includes all elements necessary for fuel management systems, such as components for managing/monitoring pressure and tank level, leak detection, and lubrication equipment. Includes additional options, parts, and accessories.",,,,,
500004614,MAS       ,332510,Industrial Products and Services - Hardware and Tools,"Hardware Manufacturing (Hardware Store, Home Improvement Center, or MRO - Services)","This includes Contractor Operated Civil Engineer Supply Stores (COCESS), Contractor Operated Hardware Stores (COHS) and Contractor Operated Supply Stores (COSS) or Virtual Contractor Operated Supply Stores (VCOSS), including Hardware Store, Home Improvement Center, or MRO Services. THESE SERVICES MAY ONLY BE OFFERED BY CONTRACTORS AWARDED SIN(s) 332510C and 332510S",,,,,
500004615,MAS       ,333112,Industrial Products and Services - Hardware and Tools,"Lawn and Garden Equipment, Machinery, Implements, Tools, Products and Accessories","Includes, but not limited to: Mowers (all types) not to exceed 30 hp; gas and diesel tractors dedicated to lawn and garden without implements (excludes tractors with attachments enabling multiple or general purpose use such as loading, excavation, agricultural, highway or road maintenance or clearing, mowing construction, etc.); mowing implements; flail mowing units; boom mowers; sickle mowers; rotary mowing units; rototillers; snow throwers and blowers; grass, hedge and tree trimmers; edgers; blowers; vacuums; sweepers; sprayers; renovators; spiders; sod cutters; broadcasters; spreaders; seeders and other various lawn and garden implements (not tractor drawn or mounted). Tools including but not limited to: chain saws, lawn sprinklers, soaker hoses, garden hoses, grass shears, pruning shears, tree trimmers, pruning saws, weed whip cutters, rakes, spading forks, manure forks, brush hooks and garden hoes. Products include typical nursery and garden items, such as trees, shrubs, plants, seeds, fertilizer, bulbs, and sod.",,,,,
500004616,MAS       ,532310,Industrial Products and Services - Hardware and Tools,Rental and Leasing of Hardware Store Products,"Includes rental of all commercial products, equipment and machinery covered under the Hardware and Tools subcategory such as: tools; tool kits; hardware store products; paint and coating applicators and accessories; appliances; lawn and garden equipment and machinery; and woodworking/ metalworking and industrial equipment and machinery. Excludes consumable products. ",,,,,
500004617,MAS       ,332510C             ,Industrial Products and Services - Hardware and Tools,"Hardware Store, Home Improvement Center, Industrial or General Supply Store, or Industrial Maintenance Repair and Operations (MRO) Distributor - Catalog ","Products and equipment including but not limited to: flooring, fencing, hardware, building materials, tools, appliances, electric, paint, plumbing, lawn and garden, motors, shop, machining, welding, material handling; carts, trucks and dock; HVAC, cleaning and irrigation, equipment. These items must meet government requirements for ""energy-efficiency"" or Green (Energy Star or Federal Energy Management Program (FEMP)-designated), water-efficient, products, and/or the use of non-ozone depleting substances, as applicable to product groups with designation.",,,,,
500004618,MAS       ,332510S             ,Industrial Products and Services - Hardware and Tools,"Hardware Store, Home Improvement Center, Industrial or General Supply Store, or Industrial Maintenance Repair and Operations (MRO) Distributor - Store Front","Products within the scope of a hardware, general merchandise store, specialty supply store, or industrial supply store/distributor to maintain, operate, and repair facilities equipment and operations including but not limited to: flooring, fencing, hardware, building materials and equipment, tools, appliances, lighting, electric, paint and other coatings and compounds, oils and lubricants, compounds and abrasives plumbing, lawn and garden, motors, machinery, industrial equipment such as woodworking, metalworking, plastics and accessories, evolving  MRO technology and accessories, welding, material handling, carts, and dock equipment; HVAC, cleaning, and irrigation equipment, work safety clothing, footwear, fall protection, first aid safety, personal protective equipment and other commercial specialty tools or task-specific tools used in a non-traditional manner, such as for aircraft maintenance tools and equipment, supplies, or items needed to support government or military operations, excludes items that are MIL-SPEC and NSN specific. These items must meet government requirements for energy-efficiency or Green (Energy Star or Federal Energy Management Program (FEMP)-designated), water-efficient, products, and/or the use of non-ozone depleting substances, as applicable to product groups with designation.
",,,,,
500004619,MAS       ,333TOOL             ,Industrial Products and Services - Hardware and Tools,"Tools (Powered and Non-Powered), Tool Kits, Tool Boxes and Accessories","Tools powered and non-powered, tool kits, tool boxes and accessories including but not limited to: general maintenance, vehicle, system specific, aircraft system specific, repair, cable, master, pinch pin, metric, standard, Society of American Engineers (SAE), mechanic, heavy equipment, diesel, industrial, impact, pneumatic, electrical, machinists, HVAC, gear, plumbing and soldering.
",,,,,
500004620,MAS       ,33512,Industrial Products and Services - Industrial Products,Energy-Efficient Lighting and Sustainable Energy Solutions,"Includes lighting solutions for indoor and outdoor activities, including aviation, marine, and emergency disaster relief. Energy solutions that use solar, fuel, geothermal, and wind power are available.",,,,,
500004621,MAS       ,314120,Industrial Products and Services - Industrial Products,Lodging and Hospitality Supplies and Services,"Includes lodging and hospitality supplies and services, such as air cleaners and purifiers, houseware items for furnishing guest rooms or living quarters, mattresses, safety and security components, amenities, outdoor furniture and equipment, etc. ",,,,,
